Rank,City,Cost_of_Living_Index,Rent_Index,Cost_of_Living_Plus_Rent_Index,Groceries_Index,Restaurant_Price_Index,Local_Purchasing_Power_Index,Year
NA,"Austin, TX, United States",91.4,57.5,76.2,91.6,80.9,114.2,2010
NA,"San Francisco, CA, United States",90.6,81.5,86.6,114.4,90,114.2,2010
NA,"Tokyo, Japan",89.3,61.8,77,96.4,79.6,107.9,2010
NA,"Boston, MA, United States",89.1,63.2,77.5,77.2,78,120,2010
NA,"Seoul, South Korea",88.6,42.1,67.8,124,79.4,85.2,2010
NA,"Valencia, Spain",86.1,30,61,47,78.6,54.4,2010
NA,"Philadelphia, PA, United States",85.5,59.4,73.8,107.8,66.1,122.9,2010
NA,"Lisbon, Portugal",85.4,31.5,61.3,48.9,67.7,51.2,2010
NA,"Balneario Camboriu, Brazil",85.4,27.1,59.3,52.1,52,65.6,2010
NA,"Montreal, Canada",85.3,48.4,68.8,90.9,58.2,81.3,2010
NA,"Valladolid, Spain",84.5,54.8,71.2,68.7,85.9,46.6,2010
NA,"Toronto, Canada",83.4,52.4,69.5,102.1,62.2,105.3,2010
NA,"Abu Dhabi, United Arab Emirates",82.8,118.1,98.6,70.7,113.6,63.2,2010
NA,"Zagreb, Croatia",82.2,33.7,60.5,82.2,63.6,45.2,2010
NA,"Seville (Sevilla), Spain",79.5,49.8,66.2,59.2,68.3,46.8,2010
NA,"Zaragoza (Saragossa), Spain",79.3,50.1,66.3,66.9,94.7,53.4,2010
NA,"Lincoln, NE, United States",79.2,29.5,57,61.3,59.6,118.3,2010
NA,"Ljubljana, Slovenia",76,45.1,62.2,63.7,62.5,54.4,2010
NA,"Nicosia, Cyprus",75.8,36.5,58.3,80.4,64.1,114.9,2010
NA,"Dubai, United Arab Emirates",74.5,90.2,81.5,59.1,103.6,82.3,2010
NA,"Rio de Janeiro, Brazil",73.7,34.7,56.2,66.3,53.6,56.2,2010
NA,"Prague, Czech Republic",72.1,41.6,58.5,62.9,58.4,54.4,2010
NA,"Athens, Greece",71.4,32.9,54.2,70.1,73.4,64.5,2010
NA,"Santiago, Chile",70.7,19.7,47.9,55.4,41.6,51.4,2010
NA,"Tehran, Iran",69.1,90.5,78.7,73.3,33.6,38.4,2010
NA,"Varna, Bulgaria",68.8,15,44.8,51.4,62.2,46.3,2010
NA,"Riga, Latvia",68.2,31.8,51.9,37.4,50.9,38.3,2010
NA,"Hong Kong, Hong Kong (China)",68,59.6,64.3,93.3,60.3,51.3,2010
NA,"Belgrade, Serbia",66.8,32.3,51.4,47.5,60.4,30.5,2010
NA,"Miskolc, Hungary",66.8,19,45.4,60.5,45,31.8,2010
NA,"Singapore, Singapore",65.9,71.8,68.6,100.3,56.4,76.8,2010
NA,"Amman, Jordan",65.6,26.4,48.1,88.2,65.2,22.1,2010
NA,"Budapest, Hungary",63.7,31.6,49.4,55.8,49.3,29.8,2010
NA,"Moscow, Russia",63.3,72.8,67.5,27.8,77.2,43.5,2010
NA,"Istanbul, Turkey",62.6,37.1,51.2,69.3,46.3,53.1,2010
NA,"Budva, Montenegro",61.1,11.8,39.1,53.8,59.2,29.7,2010
NA,"Johannesburg, South Africa",61.1,39.8,51.6,52,43.2,52,2010
NA,"Gdynia, Poland",60.2,40.3,51.3,42.6,40.7,48.7,2010
NA,"Novi Sad, Serbia",59.7,19.5,41.7,52.7,61.3,39.8,2010
NA,"Medellin, Colombia",59.2,9.7,37,46.7,39.8,18.8,2010
NA,"Poznan, Poland",56.5,17.2,38.9,47.7,57.6,46.9,2010
NA,"Sofia, Bulgaria",56.1,28.4,43.7,51.2,43.3,32.6,2010
NA,"Manama, Bahrain",55,73.5,63.2,68.3,68.4,56,2010
NA,"Bogota, Colombia",54.4,19.2,38.7,59.4,40.1,36.7,2010
NA,"Tirana, Albania",54,15.2,36.6,46.6,32.6,27.2,2010
NA,"Warsaw, Poland",53.9,36,45.9,42.1,52,52.1,2010
NA,"Asuncion, Paraguay",53.6,11.2,34.7,40.5,31.9,19.5,2010
NA,"Shanghai, China",53.2,34.8,45,91,46.3,28.9,2010
NA,"Isfahan (Esfahan), Iran",53,19,37.8,39.9,22.5,30.8,2010
NA,"Guadalajara, Mexico",50.8,24.5,39.1,51,53.7,56.6,2010
NA,"Constanta, Romania",50.7,10.8,32.9,47.7,51.2,33.3,2010
NA,"Adana, Turkey",50.1,15.1,34.5,40.5,35.9,80.9,2010
NA,"Vilnius, Lithuania",50.1,28.7,40.5,57.4,36.3,43.3,2010
NA,"Mexico City, Mexico",49.4,23.3,37.8,47.6,36,36.9,2010
NA,"Santa Marta, Colombia",49.2,11.7,32.4,63.2,25.4,43,2010
NA,"Banja Luka, Bosnia And Herzegovina",49,11.3,32.1,58,37.1,33.6,2010
NA,"Buenos Aires, Argentina",47.1,22.1,36,33.8,50.6,43.9,2010
NA,"Perm, Russia",46.3,21.6,35.3,45.2,44.2,31.8,2010
NA,"Caracas, Venezuela",43.9,46.9,45.3,26.9,63.3,46.6,2010
NA,"Bucharest, Romania",43.7,35.4,40,37.1,34.8,26.2,2010
NA,"Beijing, China",43.2,30.5,37.5,82,29.8,32,2010
NA,"Minsk, Belarus",43,27.9,36.3,43.7,44.5,12.8,2010
NA,"Cluj-Napoca, Romania",42.5,17.8,31.5,40.5,32.3,27.1,2010
NA,"Jakarta, Indonesia",40.8,21.2,32,49.7,36.7,24.9,2010
NA,"La Paz, Bolivia",39.8,19.4,30.7,26.4,37.8,41.7,2010
NA,"Ahmedabad, India",38.4,6.4,24.1,78,27.9,26.6,2010
NA,"Kuala Lumpur, Malaysia",37.5,13.9,27,51,31.4,61.7,2010
NA,"Bangkok, Thailand",36.6,21.6,29.9,51.3,28.2,30.8,2010
NA,"Kharkiv, Ukraine",35.7,17.1,27.4,17.1,61.9,38.2,2010
NA,"Kolkata, India",34.8,11.6,24.4,31.6,40.2,65.6,2010
NA,"Dnipro, Ukraine",33.8,19.7,27.5,25,38,29.6,2010
NA,"Kiev (Kyiv), Ukraine",33.8,30.8,32.4,28.3,35.1,36.9,2010
NA,"Mumbai, India",33.3,15.2,25.2,34.9,27.5,40.1,2010
NA,"Pune, India",32.6,12.1,23.4,35.1,19.8,46.5,2010
NA,"Delhi, India",32.4,10.7,22.7,28.6,30.4,46.5,2010
NA,"Hyderabad, India",32,8.5,21.5,46.8,24.2,38.8,2010
NA,"Chennai, India",31.2,10.7,22,33.9,28.9,10.9,2010
NA,"Bangalore, India",29.8,11.5,21.6,23.7,21,51.6,2010
NA,"Oslo, Norway",149.3,55.3,115.5,141.8,149.4,91.3,2011
NA,"Stavanger, Norway",145.7,73.8,119.9,154.8,159.3,81.5,2011
NA,"Zurich, Switzerland",143.9,84.8,122.7,133.2,135.1,137.4,2011
NA,"Geneva, Switzerland",143.7,87.6,123.5,146.5,132.7,132.6,2011
NA,"Bergen, Norway",142.5,52.1,110,145.1,139.2,109,2011
NA,"Basel, Switzerland",141.1,50.9,108.7,144,115.1,130.5,2011
NA,"Lausanne, Switzerland",136.4,54.8,107.1,148.8,110.2,118.5,2011
NA,"Lucerne, Switzerland",133,89.1,117.2,155.3,95.2,106.1,2011
NA,"Perth, Australia",130.1,48,100.6,128.4,113.5,121.6,2011
NA,"Copenhagen, Denmark",123.9,56.7,99.8,105.7,139,99.6,2011
NA,"Dublin, Ireland",118.2,56.6,96.1,126.4,112,93.4,2011
NA,"Darwin, Australia",115.5,61.8,96.2,98.6,119.6,110.3,2011
NA,"Amsterdam, Netherlands",114.2,61.9,95.4,70.2,124.4,83.5,2011
NA,"Sydney, Australia",113.1,80.4,101.4,124.9,88.8,105.2,2011
NA,"Paris, France",112,67.5,96,95.7,105.8,68.5,2011
NA,"Brussels, Belgium",111.5,48.7,88.9,87.6,125.8,85.4,2011
NA,"Brugge, Belgium",110.3,33.1,82.5,85.3,104.7,79.8,2011
