Rank,City,Cost_of_Living_Index,Rent_Index,Cost_of_Living_Plus_Rent_Index,Groceries_Index,Restaurant_Price_Index,Local_Purchasing_Power_Index,Year
NA,"Tomsk, Russia",58.3,17.8,38.5,51.3,58,41.2,2015
NA,"Campinas, Brazil",58.2,19.2,39.2,43.9,49.1,65.9,2015
NA,"Muscat, Oman",57.9,32.9,45.7,53,49.8,106.1,2015
NA,"Riga, Latvia",57.7,13.7,36.2,45.8,48.3,43.1,2015
NA,"Fortaleza, Brazil",57.6,13.4,36,48.1,38.1,39,2015
NA,"Manama, Bahrain",57.6,33.7,45.9,57.7,61.7,67.5,2015
NA,"Shanghai, China",57.1,37.4,47.5,58.8,47.2,56,2015
NA,"Almaty, Kazakhstan",56.8,20.4,39,46.1,61.9,47.2,2015
NA,"Tripoli, Libya",56.6,25.9,41.6,59,52.4,44.6,2015
NA,"Coimbra, Portugal",56.1,16.9,36.9,42.2,49.4,56.3,2015
NA,"Taipei, Taiwan",55.9,22.2,39.4,59.6,29.5,84.6,2015
NA,"Porto, Portugal",55.9,15.3,36.1,45.3,44.5,59.7,2015
NA,"Kota Kinabalu, Malaysia",55.6,9.6,33.1,56.5,26.1,60.9,2015
NA,"Havana, Cuba",55.2,15.5,35.8,37.6,33.9,1.5,2015
NA,"Samara, Russia",55.1,18.8,37.3,45.3,68.7,44.5,2015
NA,"Santiago, Chile",55,19.2,37.5,49.6,45.1,53.1,2015
NA,"Porto Alegre, Brazil",54.9,16,35.9,45.1,42.8,41,2015
NA,"Lima, Peru",54.7,21.1,38.3,50.2,37.5,29.8,2015
NA,"Florianopolis, Brazil",54.6,16.1,35.8,45.9,42.6,43,2015
NA,"Kaliningrad, Russia",54.6,16.8,36.1,47.5,61.7,42.2,2015
NA,"Bratislava, Slovakia",54.4,21.2,38.2,48.6,45.1,61.8,2015
NA,"Nairobi, Kenya",54.3,19.3,37.2,54.7,38.9,30.6,2015
NA,"Windhoek, Namibia",54.1,23,38.9,50.1,46.4,42.7,2015
NA,"Vilnius, Lithuania",53.9,15.7,35.2,45.1,39.4,46.9,2015
NA,"Kaunas, Lithuania",53.7,9.7,32.2,43.8,38.2,41.7,2015
NA,"San Salvador, El Salvador",53.5,10.7,32.6,47.2,39.9,29.3,2015
NA,"Istanbul, Turkey",53.4,17.2,35.7,43.2,42.8,53,2015
NA,"Yangon, Myanmar",53,27.5,40.5,59.5,24.3,19.6,2015
NA,"Beijing, China",53,38.1,45.7,52.7,41.7,53.3,2015
NA,"Curitiba, Brazil",53,15.8,34.8,41,43.6,30.9,2015
NA,"Kosice, Slovakia",52.8,18.1,35.8,48.3,42.6,53.7,2015
NA,"Quito, Ecuador",52.7,18,35.7,53,36,36.9,2015
NA,"Osijek, Croatia",52.6,8.5,31.1,49.7,31.8,53.3,2015
NA,"Ulaanbaatar, Mongolia",52.6,27.9,40.5,53.3,35.1,23.4,2015
NA,"Belo Horizonte, Brazil",52.4,17.4,35.3,39.8,41.8,40.7,2015
NA,"Recife, Brazil",52.3,18.4,35.7,43.3,43.7,66.6,2015
NA,"Khartoum, Sudan",52.3,15.1,34.1,52,35.8,51.3,2015
NA,"Riyadh, Saudi Arabia",52.2,19,36,44.5,35.5,132.8,2015
NA,"Bangkok, Thailand",52.1,26.2,39.5,58.7,25.7,42.4,2015
NA,"Guatemala City, Guatemala",52.1,15.6,34.2,54,36.1,35.6,2015
NA,"Addis Ababa, Ethiopia",52,16.9,34.9,48.5,24.7,15.1,2015
NA,"Minsk, Belarus",51.7,19.2,35.8,47.1,58,36.4,2015
NA,"Baghdad, Iraq",51.7,17.4,34.9,42.7,43.8,41.1,2015
NA,"Shenzhen, China",51.3,24.9,38.4,48.4,45.6,69.4,2015
NA,"Budapest, Hungary",51.2,10.4,31.2,41.2,40.2,48,2015
NA,"Managua, Nicaragua",51.1,8.5,30.3,43.8,32.2,23.1,2015
NA,"Nizhny Novgorod, Russia",51,17.4,34.6,42.3,44.7,34.4,2015
NA,"Jeddah (Jiddah), Saudi Arabia",50.6,16.7,34,46.3,34.7,120.6,2015
NA,"Petaling Jaya, Malaysia",50.3,15.6,33.3,52.5,29.3,76.2,2015
NA,"Makati, Philippines",49.8,28.3,39.3,48.6,30.7,32.7,2015
NA,"Prague, Czech Republic",49.7,20,35.2,44.5,36.8,69.9,2015
NA,"Brno, Czech Republic",49.7,15.7,33.1,44.4,33.1,64.3,2015
NA,"Novosibirsk, Russia",49.5,19.8,35,44.6,52.4,43.1,2015
NA,"Bursa, Turkey",49.3,8.7,29.5,39.9,36.4,58.7,2015
NA,"Johannesburg, South Africa",49,20.6,35.1,42.8,44.2,118.1,2015
NA,"Natal, Brazil",48.7,11,30.3,40.1,32.8,39.7,2015
NA,"Izmir, Turkey",48.5,11.5,30.4,40,39.4,47.5,2015
NA,"Podgorica, Montenegro",48.3,11.3,30.2,38.9,41.6,40.3,2015
NA,"Tehran, Iran",48.3,25.1,36.9,48.7,43.3,31.2,2015
NA,"Ankara, Turkey",48.2,10,29.5,39.5,37.1,64.8,2015
NA,"Kuala Lumpur, Malaysia",48.2,21.5,35.2,48.3,28.3,71.8,2015
NA,"Warsaw, Poland",48,19.4,34.1,39.6,42.7,71.1,2015
NA,"Monterrey, Mexico",47.2,13.2,30.6,45.8,37.3,88.4,2015
NA,"Mexico City, Mexico",47.1,19.7,33.7,44.2,38.7,59.2,2015
NA,"Pretoria, South Africa",46.7,13,30.3,40.2,42,129.6,2015
NA,"Guangzhou, China",46.4,17.3,32.2,52.8,27.1,51.9,2015
NA,"Goiania, Brazil",46,11.3,29.1,37,42,65.5,2015
NA,"Manila, Philippines",46,18.4,32.5,45,26.9,37.6,2015
NA,"Antalya, Turkey",46,8.9,27.9,36.8,40.1,53.9,2015
NA,"Szczecin, Poland",45.8,11.5,29,37.1,37.4,58.9,2015
NA,"Poznan, Poland",45.5,14.3,30.2,35.5,39.5,56.7,2015
NA,"Belgrade, Serbia",45.2,10.4,28.2,36.8,39.4,40,2015
NA,"Odessa (Odesa), Ukraine",45,15.8,30.7,38.1,42.4,28.8,2015
NA,"Sofia, Bulgaria",44.9,10.9,28.3,39.6,34.2,44.8,2015
NA,"Hanoi, Vietnam",44.9,14,29.8,40.9,21.3,26.4,2015
NA,"Bucharest, Romania",44.8,12.7,29.1,39.1,38.9,39,2015
NA,"Jakarta, Indonesia",44.7,21.3,33.3,49.7,26.4,25,2015
NA,"Sarajevo, Bosnia And Herzegovina",44.6,9.7,27.5,38.8,31.4,42.5,2015
NA,"Constanta, Romania",44.5,7.5,26.4,37.9,38.1,32.7,2015
NA,"Kiev (Kyiv), Ukraine",44.5,23.1,34,37.8,41.2,35.9,2015
NA,"Krakow (Cracow), Poland",44.5,15.3,30.2,36.7,36.1,63.8,2015
NA,"Gdansk, Poland",44.4,14.5,29.8,35.4,35.4,66.3,2015
NA,"Tirana, Albania",44.2,9.5,27.2,35.3,36.2,34.4,2015
NA,"Wroclaw, Poland",44.1,16.7,30.7,36.4,36.5,63.6,2015
NA,"Port Elizabeth, South Africa",44.1,12.2,28.5,41.9,36.2,85.7,2015
NA,"Cape Town, South Africa",44,23.8,34.2,40.6,38.3,97.7,2015
NA,"Ho Chi Minh City, Vietnam",44,15.9,30.3,38.4,26.7,23.1,2015
NA,"Penang, Malaysia",43.7,9.8,27.2,43,25.9,78.7,2015
NA,"Colombo, Sri Lanka",43.7,12.9,28.6,52.6,24.6,27.3,2015
NA,"Cancun, Mexico",43.7,10,27.2,42.7,32.6,53,2015
NA,"Johor Bahru, Malaysia",43.6,15.8,30,43,25.6,59.9,2015
NA,"Kharkiv, Ukraine",43.6,13.4,28.9,35.9,43.6,19.8,2015
NA,"Dalian, China",43.6,18.1,31.1,38.9,36.3,36.5,2015
NA,"Varna, Bulgaria",43.5,7.3,25.8,39,31.5,32.9,2015
NA,"Brasov, Romania",43.3,10.9,27.4,36.7,34.5,36.9,2015
NA,"Lodz, Poland",43.3,12.4,28.2,34.6,36.4,48.1,2015
NA,"Iasi, Romania",43.2,9.5,26.7,36.7,32.1,37.2,2015
NA,"Bishkek, Kyrgyzstan",42.9,17,30.2,38.6,40.4,29.6,2015
NA,"Bogota, Colombia",42.8,17.8,30.6,40.1,33.2,33.5,2015
NA,"Durban, South Africa",42.7,15.8,29.5,36.7,40.9,83.6,2015
NA,"Casablanca, Morocco",42.5,18.6,30.8,39,31.4,40.7,2015
NA,"Banja Luka, Bosnia And Herzegovina",42.5,7.9,25.6,35.3,33.5,46.3,2015
NA,"Novi Sad, Serbia",42.3,6.5,24.8,35.5,29.7,35.6,2015
NA,"Guadalajara, Mexico",42.2,12.8,27.8,42.6,36.5,48.8,2015
NA,"Lublin, Poland",42.1,12.2,27.5,36.7,35.1,59.8,2015
NA,"Skopje, North Macedonia",42,9.6,26.2,35,33.4,34.8,2015
NA,"Dushanbe, Tajikistan",42,14.1,28.4,39.1,31.5,20.1,2015
NA,"Cluj-Napoca, Romania",42,9.9,26.3,39.2,30.3,44.8,2015
NA,"Chiang Mai, Thailand",41.7,11.2,26.8,43.8,21.3,31,2015
NA,"Yerevan, Armenia",41.4,9.7,25.9,33.7,34,28.1,2015
NA,"Katowice, Poland",41.4,10.7,26.4,34.5,37.5,67.7,2015
NA,"Queretaro (Santiago de Querétaro), Mexico",41.3,10.6,26.3,43.6,35.2,66.4,2015
NA,"Timisoara, Romania",41.2,8.8,25.3,36.2,32.4,45.1,2015
NA,"Xi'an, China",41,14.4,28,46.5,26.5,47.4,2015
NA,"Pristina, Kosovo (Disputed Territory)",40.4,15.4,28.2,30.3,30.1,30,2015
NA,"Dhaka, Bangladesh",40.4,6.8,24,40.9,27.4,34.7,2015
NA,"Puerto Vallarta, Mexico",40.4,15.2,28.1,42.5,27.2,153.6,2015
NA,"Damascus, Syria",40.4,12.2,26.6,38.4,37,20.4,2015
NA,"Tbilisi, Georgia",40.2,13.1,26.9,31.6,39.2,26.8,2015
NA,"Cebu, Philippines",40,12.8,26.7,41.1,21.9,27,2015
NA,"Plovdiv, Bulgaria",39.6,7.1,23.7,37.5,31.4,39.1,2015
NA,"Lviv, Ukraine",39.6,11.3,25.8,33.3,31.6,25,2015
NA,"Craiova, Romania",39.4,7.7,23.9,35.4,30.4,39.8,2015
NA,"Bandung, Indonesia",39.3,10.1,25,45.5,17.2,21.4,2015
NA,"Davao, Philippines",38.7,6,22.8,42.1,19.7,25.3,2015
NA,"Medellin, Colombia",38.6,10.9,25.1,32.8,30.6,37.5,2015
NA,"Cali, Colombia",38.3,10,24.5,36,28.6,35.7,2015
NA,"Dnipro, Ukraine",38.2,11.8,25.3,33.5,32.5,34.8,2015
NA,"Cairo, Egypt",38.2,10,24.4,35.4,33.1,27.5,2015
NA,"Alexandria, Egypt",38.1,7.5,23.2,39.5,33,18.8,2015
NA,"Ivano-Frankivsk, Ukraine",37.9,6.1,22.3,32.7,29.2,15,2015
NA,"Algiers, Algeria",36.9,11.6,24.5,34.6,32.6,31.6,2015
NA,"Tunis, Tunisia",35.5,9.2,22.7,34.2,25.7,34.4,2015
NA,"Islamabad, Pakistan",35.1,8,21.8,34,27.3,34.6,2015
NA,"Nis, Serbia",35,5.3,20.5,28.7,25.3,37.9,2015
NA,"Chisinau, Moldova",34.9,7.8,21.7,29.9,28.5,23.9,2015
NA,"Surabaya, Indonesia",34.4,13.3,24.1,35.1,22.2,30.1,2015
NA,"Chelyabinsk, Russia",34.4,14.5,24.7,27.3,37.3,30.2,2015
NA,"Lahore, Pakistan",33.7,5.6,20,32.2,26.8,32.9,2015
NA,"Gurgaon, India",32.3,10.1,21.4,31.9,25.8,79.8,2015
NA,"Karachi, Pakistan",31.9,5.1,18.8,33.1,22.5,30.4,2015
NA,"Thane, India",31.9,8.5,20.5,29.6,18,45.7,2015
NA,"Kazan, Russia",31.7,11.9,22,26.1,40.7,47.7,2015
NA,"Mumbai, India",30.7,18.7,24.9,31.6,24.5,53.8,2015
NA,"Kathmandu, Nepal",30.7,4.3,17.8,30.2,20.8,19.4,2015
NA,"Bhopal, India",30.7,3.4,17.3,28.5,18.1,43.4,2015
NA,"Krasnodar, Russia",30.4,13.9,22.3,25.8,30.3,47.4,2015
NA,"Noida, India",30,7.2,18.9,30.2,24.8,60,2015
NA,"Izhevsk, Russia",29.7,8.9,19.5,24,34.6,34.2,2015
NA,"Delhi, India",29.7,9.1,19.6,29,22.9,67.5,2015
NA,"Goa, India",29.5,6.3,18.2,29.3,22.1,32.7,2015
NA,"Navi Mumbai, India",28.4,9,18.9,30.4,20.1,73,2015
NA,"Vadodara, India",28.3,3.9,16.4,32.7,16.6,56.8,2015
NA,"Bangalore, India",28.1,8.8,18.7,30.2,15.9,79.7,2015
NA,"Pune, India",28.1,7.7,18.1,31.3,17.8,74.6,2015
NA,"Visakhapatnam, India",28,4.9,16.7,30.6,14.8,46.9,2015
NA,"Nasik, India",27.8,4.2,16.2,30,15.9,43.6,2015
NA,"Vijayawada, India",27.7,4.3,16.2,25.6,13.4,41.8,2015
NA,"Rawalpindi, Pakistan",27.6,4.3,16.2,25.3,22.7,38,2015
NA,"Guwahati, India",27.5,4.5,16.3,29.1,15.5,40.8,2015
NA,"Ahmedabad, India",27.4,5.2,16.6,31.9,14.9,66,2015
NA,"Indore, India",27,4.4,16,30,15,36.5,2015
NA,"Jaipur, India",27,4.7,16.1,31,16.6,52.8,2015
NA,"Nagpur, India",26.9,3.9,15.7,29,18.5,56.1,2015
NA,"Chandigarh, India",26.9,5.8,16.6,28.6,17.2,49.3,2015
NA,"Chennai, India",26.7,7.5,17.3,28.9,15.5,65.5,2015
NA,"Lucknow (Lakhnau), India",26.3,4.6,15.7,26.9,17.9,114.9,2015
NA,"Surat, India",26.1,3.7,15.1,30.1,15.4,69.9,2015
NA,"Kolkata, India",26,6.8,16.6,27.6,16.9,58.7,2015
NA,"Hyderabad, India",25.8,5.8,16,28.8,15.7,71.1,2015
NA,"Kochi, India",25.3,4.6,15.2,29.1,12.2,51,2015
NA,"Bhubaneswar, India",24.9,5.1,15.2,26.1,16.5,50.5,2015
NA,"Ludhiana, India",24.9,5.4,15.3,25.8,15.6,51.9,2015
NA,"Coimbatore, India",22.6,5.5,14.2,25.1,12.8,52.1,2015
NA,"Thiruvananthapuram, India",20.8,4,12.6,23.2,12,63.2,2015
NA,"Hamilton, Bermuda",132.3,120.9,126.8,128.6,120.4,118.9,2016
NA,"Zurich, Switzerland",131,64.2,98.9,131.7,131.8,184.9,2016
NA,"Basel, Switzerland",129.9,47.6,90.4,132.8,126.9,165.7,2016
NA,"Geneva, Switzerland",129.1,74.1,102.6,124.1,130.7,181,2016
NA,"Zug, Switzerland",123.4,63.3,94.5,122.6,118,211.3,2016
NA,"Bern, Switzerland",121.6,50.7,87.6,122.6,118.3,178.1,2016
NA,"Lausanne, Switzerland",119.1,52.8,87.2,122.6,118.1,168.5,2016
NA,"Lugano, Switzerland",116.6,45.3,82.3,111.8,117.2,167.3,2016
NA,"Tromso, Norway",113.8,40.1,78.4,102.1,131.3,119.9,2016
NA,"Nassau, Bahamas",108.2,37.9,74.4,104.4,92.5,54.9,2016
NA,"Trondheim, Norway",108,37.1,73.9,103.1,111.3,113.7,2016
NA,"Stavanger, Norway",107,43.7,76.6,101,118.4,129.4,2016
NA,"San Francisco, CA, United States",103.4,121.6,112.1,122.1,90.9,105.8,2016
NA,"Bergen, Norway",102.6,40.6,72.8,96.7,106.1,121.6,2016
NA,"New York, NY, United States",100,100,100,100,100,100,2016
NA,"Honolulu, HI, United States",99.7,64.5,82.8,115,84.8,99.7,2016
NA,"Reykjavik, Iceland",97,38.2,68.7,93.5,95.5,97.1,2016
NA,"Darwin, Australia",96.4,47.6,72.9,98.8,100.9,145.7,2016
NA,"Aberdeen, United Kingdom",96.3,40.7,69.6,76.4,114,116.2,2016
NA,"Washington, DC, United States",96.2,72.2,84.6,89.5,90,119.1,2016
NA,"Oslo, Norway",96,42.1,70.1,86,112,126.3,2016
NA,"London, United Kingdom",94.8,85.5,90.3,73.4,101.3,94.9,2016
NA,"Anchorage, AK, United States",93.9,42.5,69.2,106.1,79.1,163.8,2016
NA,"Brighton, United Kingdom",93.6,48.9,72.1,84.9,90.9,95.6,2016
NA,"Allentown, PA, United States",92.7,34.3,64.6,100.5,73.2,84,2016
NA,"Albany, NY, United States",90.1,29,60.7,106.2,80.5,152.2,2016
NA,"Copenhagen, Denmark",89.3,39.6,65.4,74.8,102.2,126.1,2016
NA,"Stamford, CT, United States",89.3,64.2,77.2,96.6,82.2,148.8,2016
NA,"Queens, NY, United States",89.1,55.4,72.9,93.6,77.1,144.8,2016
NA,"Las Vegas, NV, United States",88.1,30,60.2,91.6,83.5,116.5,2016
NA,"Kuwait City, Kuwait",87,43.6,66.1,108.2,43.9,117.1,2016
NA,"Brooklyn, NY, United States",86.8,81.8,84.4,84.2,94.8,115.3,2016
NA,"Liverpool, United Kingdom",86.4,26.7,57.7,81.1,75.7,115.4,2016
NA,"Fort Collins, CO, United States",86.1,39,63.5,93.9,78.9,95,2016
NA,"Exeter, United Kingdom",85.9,32.7,60.4,72.6,83.8,88.7,2016
NA,"Cambridge, United Kingdom",85.5,49.7,68.3,71.1,98.9,126.5,2016
NA,"Oxford, United Kingdom",85.3,55.7,71.1,76.1,87.8,114,2016
NA,"Chicago, IL, United States",85.1,53.4,69.9,87,85,127.7,2016
NA,"Tokyo, Japan",85.1,49.6,68,91.1,53.3,113.5,2016
NA,"Perth, Australia",85.1,41,63.9,82.3,94.3,133.2,2016
NA,"Manchester, United Kingdom",84.8,34.2,60.5,80.8,82.8,99,2016
NA,"Boston, MA, United States",84.7,75.3,80.2,86.2,82.8,124.5,2016
NA,"Luxembourg, Luxembourg",84.4,48.9,67.4,73.4,89.9,156.6,2016
NA,"Southampton, United Kingdom",84.4,33,59.7,74.4,86,126.9,2016
NA,"Odense, Denmark",84.3,20.8,53.8,72,98.9,142.6,2016
NA,"Anaheim, CA, United States",83.8,49.6,67.4,89.6,80.5,140.7,2016
NA,"Singapore, Singapore",83.7,73.9,79,75.8,53.8,110.5,2016
NA,"Philadelphia, PA, United States",83.6,47,66,89.6,74.6,108.2,2016
NA,"Stockholm, Sweden",83.5,37.1,61.2,74.5,88.4,130.3,2016
NA,"Seattle, WA, United States",83.2,60,72,83.6,80.1,147.5,2016
NA,"Fairfax, VA, United States",83.1,53.1,68.7,79.5,77.2,155.5,2016
NA,"Bristol, United Kingdom",83.1,40.2,62.5,75,90,113.5,2016
NA,"Akron, OH, United States",83,20.3,52.9,97.2,62,116.3,2016
NA,"Irvine, CA, United States",82.8,62.1,72.9,88.9,69.4,157.6,2016
NA,"Kyoto, Japan",82.7,25.5,55.2,96.4,43.2,96.2,2016
NA,"Milton Keynes, United Kingdom",82.2,40,61.9,73.3,84.9,112.2,2016
NA,"Grand Rapids, MI, United States",81.9,28.5,56.2,90.8,65.4,141.7,2016
NA,"Busan, South Korea",81.7,17.7,51,87.9,52.6,122.1,2016
NA,"Paris, France",81.6,46,64.5,77.3,80.3,112.5,2016
NA,"Hong Kong, Hong Kong (China)",81.5,82.6,82,88.8,50.7,102.3,2016
NA,"Reading, United Kingdom",81.1,44.8,63.7,62,92.1,110.4,2016
NA,"Minneapolis, MN, United States",81.1,44.4,63.4,90.2,68.5,142.3,2016
NA,"Tel Aviv-Yafo, Israel",81.1,38.3,60.5,70.1,89.2,92.2,2016
NA,"Sydney, Australia",80.9,59.4,70.6,75.2,70.5,136.6,2016
NA,"Pittsburgh, PA, United States",80.7,36.5,59.4,84.9,69.2,122.1,2016
NA,"West Palm Beach, FL, United States",80.6,41.4,61.8,83.4,70,145.2,2016
NA,"Asheville, NC, United States",80.6,37.5,59.9,91.6,64,129,2016
NA,"Osaka, Japan",80.6,21.8,52.3,85.7,50.8,109.9,2016
NA,"Baltimore, MD, United States",80.4,48.4,65,85.8,74,150.1,2016
NA,"Leicester, United Kingdom",80.4,25.1,53.8,67.1,86.3,113.3,2016
NA,"Auckland, New Zealand",80.4,37.9,60,74.8,68.4,118.8,2016
NA,"Fort Lauderdale, FL, United States",80.3,50.2,65.8,85.8,67.6,144,2016
NA,"Dublin, Ireland",80.3,46.9,64.3,66.6,84.6,120.2,2016
NA,"Fort Worth, TX, United States",80.2,34.7,58.4,84.2,60.4,172.3,2016
NA,"Aarhus, Denmark",80.2,31.4,56.7,61.9,95.1,137.8,2016
NA,"Wellington, New Zealand",80.2,34.4,58.2,78.6,70.9,118,2016
NA,"Bordeaux, France",80,20.6,51.5,79.3,74.6,89.6,2016
NA,"Portland, OR, United States",80,48.6,64.9,84.3,71.4,122,2016
NA,"Miami, FL, United States",80,54.6,67.8,77.7,83,132.1,2016
NA,"Gent, Belgium",79.7,25.3,53.6,78.2,77.9,102,2016
NA,"Helsinki, Finland",79.6,36.3,58.8,70.3,86.4,129.8,2016
NA,"Des Moines, IA, United States",79.5,31.3,56.3,89.1,66,102,2016
NA,"Orlando, FL, United States",79.5,39.7,60.4,88,75.2,154.5,2016
NA,"Wollongong, Australia",79.4,35.1,58.2,86.1,65.3,124.5,2016
NA,"Leeds, United Kingdom",79.2,29.4,55.3,70.8,82.6,128.6,2016
NA,"Cleveland, OH, United States",79.1,28.3,54.7,79.7,73.3,140.4,2016
NA,"Brussels, Belgium",79.1,30.8,55.9,73.9,83.5,114.8,2016
NA,"Boulder, CO, United States",78.8,54.4,67,76.7,70.2,145.1,2016
NA,"Lyon, France",78.7,24,52.4,78.5,65.6,115.3,2016
NA,"Aalborg, Denmark",78.6,20.4,50.6,66.3,88.7,141.3,2016
NA,"Charleston, SC, United States",78.5,50,64.8,87.2,76.2,133.5,2016
NA,"Sacramento, CA, United States",78.4,37.5,58.8,76.6,70.5,136.4,2016
NA,"Seoul, South Korea",78.3,47.7,63.6,91.9,44.7,116.9,2016
NA,"Denver, CO, United States",78.2,52.3,65.8,78.4,75.4,127.5,2016
NA,"Nice, France",78.2,25.3,52.7,66,85,125.8,2016
NA,"Glasgow, United Kingdom",78,28.4,54.2,66.1,84.7,136,2016
NA,"Wichita, KS, United States",78,21.1,50.7,90.2,61.4,120.7,2016
NA,"New Orleans, LA, United States",78,37.1,58.3,78.7,77.7,111.3,2016
NA,"Adelaide, Australia",77.9,35.2,57.4,72.8,77.8,163.1,2016
NA,"Rehovot, Israel",77.8,22.1,51,62.3,82.2,109.2,2016
NA,"Los Angeles, CA, United States",77.8,63.7,71,76.5,78.8,127.1,2016
NA,"Turku, Finland",77.7,22.7,51.3,65.8,80.1,124.3,2016
NA,"Buffalo, NY, United States",77.6,26.4,53,81.1,73.1,144,2016
NA,"Naples, FL, United States",77.5,33.5,56.4,81.8,69.6,139.8,2016
NA,"Cairns, Australia",77.2,27.9,53.5,77.2,75.6,105.8,2016
NA,"Christchurch, New Zealand",77.2,31.4,55.2,71.1,81.4,102.1,2016
NA,"San Jose, CA, United States",77.1,80.7,78.8,81,70.3,169.9,2016
NA,"Jersey City, NJ, United States",77.1,61.6,69.6,77.2,68.1,200,2016
NA,"Cardiff, United Kingdom",77,29.7,54.2,64.1,82.9,155.6,2016
NA,"Harrisburg, PA, United States",76.9,25.3,52.1,80.9,64.7,188.1,2016
NA,"Hamilton, New Zealand",76.6,21.7,50.2,65.3,74.3,143.1,2016
NA,"Brisbane, Australia",76.5,42.9,60.4,72.9,77.2,140.7,2016
NA,"Coventry, United Kingdom",76.3,34,56,62.9,78.8,123.5,2016
NA,"Charlotte, NC, United States",76.3,37.3,57.6,82.2,65.8,158.9,2016
NA,"Amsterdam, Netherlands",76.3,46.9,62.2,59.2,84.8,122,2016
NA,"Antwerp, Belgium",76.2,25.9,52.1,68.6,90.1,107.1,2016
NA,"Cincinnati, OH, United States",76.2,32.4,55.2,74.8,72.9,143.4,2016
NA,"Canberra, Australia",76.2,43.3,60.4,75.5,72.7,168.7,2016
NA,"Durham, NC, United States",76.2,33.1,55.5,83.8,69.2,197.2,2016
NA,"San Diego, CA, United States",76.2,57.2,67.1,76.1,77.4,123.2,2016
NA,"Syracuse, NY, United States",76.1,22.3,50.3,75.9,65.8,83.2,2016
NA,"Hobart, Australia",76,28.4,53.1,75.8,74.3,127.4,2016
NA,"Knoxville, TN, United States",75.8,29.4,53.5,91.4,60.9,128,2016
NA,"Espoo, Finland",75.8,32.2,54.8,63.6,82.6,114.5,2016
NA,"Hartford, CT, United States",75.8,37.6,57.4,80.4,71.4,172.8,2016
NA,"Atlanta, GA, United States",75.7,38,57.6,76.9,70.4,139.4,2016
NA,"Santa Barbara, CA, United States",75.6,61.6,68.9,78.2,73.3,144.6,2016
NA,"Birmingham, United Kingdom",75.5,30.9,54.1,64.5,82.8,124.5,2016
NA,"Melbourne, Australia",75.3,42.2,59.4,70.6,70,153.2,2016
NA,"Gold Coast, Australia",75.2,34.8,55.8,73.3,69.2,142,2016
NA,"Houston, TX, United States",75.2,45.6,61,77.3,68.9,138.5,2016
NA,"Edinburgh, United Kingdom",74.9,34.9,55.7,61.1,82.7,131.3,2016
NA,"Uppsala, Sweden",74.8,24.2,50.5,64.6,76.7,131.4,2016
NA,"Plymouth, United Kingdom",74.8,28.2,52.4,63.1,72.6,134.3,2016
NA,"Nottingham, United Kingdom",74.8,26.4,51.5,68,70.9,165.1,2016
NA,"Utrecht, Netherlands",74.8,31.6,54,61.6,82.2,118.6,2016
NA,"Spokane, WA, United States",74.7,25.8,51.2,74.8,81.1,115,2016
NA,"Newcastle, Australia",74.6,41.2,58.6,78.5,70.2,144.3,2016
NA,"Greensboro, NC, United States",74.5,26,51.2,82.7,61.2,203.1,2016
NA,"Newcastle upon Tyne, United Kingdom",74.5,25.9,51.2,63.6,84.9,138.2,2016
NA,"Dunedin, New Zealand",74.4,21.6,49,69.9,69.2,99.9,2016
NA,"Cork, Ireland",74.1,31.6,53.7,66.1,76.9,137.2,2016
NA,"Venice, Italy",74,26.6,51.2,63,82.2,100.3,2016
NA,"Tauranga, New Zealand",74,26.8,51.3,67.1,77.4,94.1,2016
NA,"Jacksonville, FL, United States",73.9,31.9,53.8,77.3,69.3,137.8,2016
NA,"Cologne, Germany",73.9,25.5,50.6,59,70.1,137,2016
NA,"Milan, Italy",73.9,36.8,56,67.1,81.5,93.3,2016
NA,"Northampton, United Kingdom",73.8,28.6,52.1,65.7,80,139.8,2016
NA,"Indianapolis, IN, United States",73.5,28.9,52.1,78,58.6,119.1,2016
NA,"Leiden, Netherlands",73.4,28.7,51.9,65.1,80.3,154.2,2016
NA,"Riverside, CA, United States",73.4,36.5,55.7,70.7,64.9,155.5,2016
NA,"Jerusalem, Israel",73.3,29,52,61.5,77,104.8,2016
NA,"Cagliari, Italy",73.3,20.7,48,64.2,72.6,76.3,2016
NA,"Madison, WI, United States",73.3,36.4,55.6,77.2,65.5,150.1,2016
NA,"Haifa, Israel",73,20.4,47.7,62.4,74.5,112.9,2016
NA,"The Hague (Den Haag), Netherlands",73,32.8,53.7,57.5,83.7,137.9,2016
NA,"Jyvaskyla, Finland",72.9,23.2,49,62.8,74.3,146.6,2016
NA,"Frankfurt, Germany",72.8,31.1,52.8,60.9,67.3,146.2,2016
NA,"Vancouver, WA, United States",72.7,31.1,52.7,76.8,58.9,152.2,2016
NA,"Pisa, Italy",72.6,21,47.8,68,77.5,81,2016
NA,"Tampa, FL, United States",72.4,37.2,55.5,75.2,73.7,141.8,2016
NA,"Dallas, TX, United States",72.4,39.5,56.6,71.6,68.4,159.8,2016
NA,"Toulouse, France",72.4,24.6,49.4,69.2,75.6,117.6,2016
NA,"Raleigh, NC, United States",72.2,34.1,53.9,74.3,72.6,146.9,2016
NA,"Hamburg, Germany",72.2,31.5,52.6,60.2,64.4,152,2016
NA,"Burlington, Canada",72.1,27.8,50.8,77.5,62.6,124.5,2016
